var Vs = 100.0382554;

var y [*,*]
:         1              2              3          :=
1    0.2066214911   0.4933835811   0.2999949235
2    0.3021097995   0.4661694212   0.2317208053
3    0.3749699526   0.4268362462   0.1981937894
4    0.4263830163   0.3927373251   0.1808796554
5    0.4607362415   0.3678868186   0.1713769483
6    0.4828579735   0.3512305622   0.1659114786
7    0.4967616556   0.3405586026   0.1626797408
8    0.5053652898   0.3338921577   0.16074256
9    0.50536529     0.3338921646   0.1607425527
10   0.5053652949   0.3338921659   0.1607425466
11   0.5053652989   0.3338921668   0.1607425435
12   0.505365299    0.3338921701   0.1607425424
13   0.5053652991   0.3338921761   0.1607425345
14   0.5053653126   0.3338921918   0.160742508
15   0.5054454018   0.3338655916   0.1606890081
;

var Ls = 200.0382577;

var x [*,*]
:          1              2              3          :=
1    0.09455449448   0.4661344208   0.4393110889
2    0.1505989548    0.4797614687   0.3696395685
3    0.1983521108    0.4661518458   0.3354960568
4    0.2347891086    0.4464815215   0.3187293624
5    0.2605005324    0.4294288164   0.3100706499
6    0.2776804098    0.4170012022   0.305318393
7    0.2887433788    0.4086714896   0.3025851395
8    0.2956965414    0.4033344926   0.3009689614
9    0.2956965404    0.4033345135   0.3009689514
10   0.2956965481    0.403334501    0.3009689543
11   0.2956965418    0.403334498    0.3009689583
12   0.2956965318    0.4033344993   0.300968962
13   0.2956965379    0.4033345133   0.3009689557
14   0.2956965534    0.4033345652   0.3009688944
15   0.29576867      0.4033368325   0.3008945082
;

var PC = 100.0000018;
var PR = 100;

