solve_message = 'CONOPT 3.17A Locally infeasible; objective 655.3634589
58 iterations; evals nf = 4, ng = 0, nc = 784, nJ = 66, nH = 0, nHv = 7'

            _varname               _var          =
117    'y[1,10,2]'                 0.956304
118    'y[1,10,3]'                 0.033728
119    'y[1,11,1]'                 0.0247165
120    'y[1,11,2]'                 0.944423
121    'y[1,11,3]'                 0.0308603
122    'y[1,12,1]'                 0.059972
123    'y[1,12,2]'                 0.911077
124    'y[1,12,3]'                 0.0289514
125    'y[1,13,1]'                 0.138678
126    'y[1,13,2]'                 0.834713
127    'y[1,13,3]'                 0.026609
128    'y[1,14,1]'                 0.289979
129    'y[1,14,2]'                 0.687251
130    'y[1,14,3]'                 0.0227695
131    'y[1,15,1]'                 0.509897
132    'y[1,15,2]'                 0.472742
133    'y[1,15,3]'                 0.0173617
134    'y[1,16,1]'                 0.735431
135    'y[1,16,2]'                 0.260791
136    'y[1,16,3]'                 0.00377819
137    'y[1,17,1]'                 0.88567
138    'y[1,17,2]'                 0.113696
139    'y[1,17,3]'                 0.000633345
140    'y[1,18,1]'                 0.956579
141    'y[1,18,2]'                 0.043329
142    'y[1,18,3]'                 9.14548e-05
143    'y[1,19,1]'                 0.984416
144    'y[1,19,2]'                 0.0155713
145    'y[1,19,3]'                 1.23738e-05
146    'y[1,20,1]'                 0.994526
147    'y[1,20,2]'                 0.0054725
148    'y[1,20,3]'                 1.63327e-06
149    'y[1,21,1]'                 0.998092
150    'y[1,21,2]'                 0.00190798
151    'y[1,21,3]'                 2.13679e-07
152    'y[1,22,1]'                 0.999337
153    'y[1,22,2]'                 0.00066335
154    'y[1,22,3]'                 2.78685e-08
155    'y[1,23,1]'                 0.99977
156    'y[1,23,2]'                 0.0002304
157    'y[1,23,3]'                 3.63072e-09
158    'y[1,24,1]'                 0.99992
159    'y[1,24,2]'                 7.9996e-05
160    'y[1,24,3]'                 4.72833e-10
161    'y[1,25,1]'                 0.999972
162    'y[1,25,2]'                 2.77704e-05
163    'y[1,25,3]'                 6.15696e-11
164    'y[1,26,1]'                 0.99999
165    'y[1,26,2]'                 9.63877e-06
166    'y[1,26,3]'                 8.01686e-12
167    'y[1,27,1]'                 0.999997
168    'y[1,27,2]'                 3.34417e-06
169    'y[1,27,3]'                 1.04383e-12
170    'y[1,28,1]'                 0.999999
171    'y[1,28,2]'                 1.15898e-06
172    'y[1,28,3]'                 1.35901e-13
173    'y[1,29,1]'                 1
174    'y[1,29,2]'                 4.00384e-07
175    'y[1,29,3]'                 1.76827e-14
176    'y[1,30,1]'                 1
177    'y[1,30,2]'                 1.37037e-07
178    'y[1,30,3]'                 2.29012e-15
179    'y[2,1,1]'                  2.10988e-13
180    'y[2,1,2]'                  0.111869
181    'y[2,1,3]'                  0.888131
182    'y[2,2,1]'                  1.02182e-12
183    'y[2,2,2]'                  0.217482
184    'y[2,2,3]'                  0.782518
185    'y[2,3,1]'                  4.52588e-12
186    'y[2,3,2]'                  0.38257
187    'y[2,3,3]'                  0.61743
188    'y[2,4,1]'                  1.76526e-11
189    'y[2,4,2]'                  0.583684
190    'y[2,4,3]'                  0.416316
191    'y[2,5,1]'                  5.99911e-11
192    'y[2,5,2]'                  0.763265
193    'y[2,5,3]'                  0.236735
194    'y[2,6,1]'                  1.82644e-10
195    'y[2,6,2]'                  0.88251
196    'y[2,6,3]'                  0.11749
197    'y[2,7,1]'                  5.19871e-10
198    'y[2,7,2]'                  0.946352
199    'y[2,7,3]'                  0.0536484
200    'y[2,8,1]'                  1.42975e-09
201    'y[2,8,2]'                  0.976523
202    'y[2,8,3]'                  0.0234766
203    'y[2,9,1]'                  3.8702e-09
204    'y[2,9,2]'                  0.989926
205    'y[2,9,3]'                  0.0100735
206    'y[2,10,1]'                 1.04035e-08
207    'y[2,10,2]'                 0.995715
208    'y[2,10,3]'                 0.00428528
209    'y[2,11,1]'                 2.78821e-08
210    'y[2,11,2]'                 0.998184
211    'y[2,11,3]'                 0.00181621
212    'y[2,12,1]'                 7.46304e-08
213    'y[2,12,2]'                 0.999231
214    'y[2,12,3]'                 0.000768537
215    'y[2,13,1]'                 1.99651e-07
216    'y[2,13,2]'                 0.999675
217    'y[2,13,3]'                 0.000324993
218    'y[2,14,1]'                 5.33984e-07
219    'y[2,14,2]'                 0.999862
220    'y[2,14,3]'                 0.000137391
221    'y[2,15,1]'                 1.42805e-06
222    'y[2,15,2]'                 0.99994
223    'y[2,15,3]'                 5.80755e-05
224    'y[2,16,1]'                 3.8189e-06
225    'y[2,16,2]'                 0.999972
226    'y[2,16,3]'                 2.45473e-05
227    'y[2,17,1]'                 1.02123e-05
228    'y[2,17,2]'                 0.999979
229    'y[2,17,3]'                 1.03753e-05
230    'y[2,18,1]'                 2.73089e-05
231    'y[2,18,2]'                 0.999968
232    'y[2,18,3]'                 4.38524e-06
233    'y[2,19,1]'                 7.30249e-05
234    'y[2,19,2]'                 0.999925
235    'y[2,19,3]'                 1.85339e-06
236    'y[2,20,1]'                 0.000195257
237    'y[2,20,2]'                 0.999804
238    'y[2,20,3]'                 7.83259e-07
239    'y[2,21,1]'                 0.000521993
240    'y[2,21,2]'                 0.999478
241    'y[2,21,3]'                 3.30936e-07
242    'y[2,22,1]'                 0.00139479
243    'y[2,22,2]'                 0.998605
244    'y[2,22,3]'                 1.3974e-07
245    'y[2,23,1]'                 0.0037221
246    'y[2,23,2]'                 0.996278
247    'y[2,23,3]'                 5.89107e-08
248    'y[2,24,1]'                 0.00989824
249    'y[2,24,2]'                 0.990102
250    'y[2,24,3]'                 2.47287e-08
251    'y[2,25,1]'                 0.0260823
252    'y[2,25,2]'                 0.973918
253    'y[2,25,3]'                 1.02631e-08
254    'y[2,26,1]'                 0.0671154
255    'y[2,26,2]'                 0.932885
256    'y[2,26,3]'                 4.13603e-09
257    'y[2,27,1]'                 0.162911
258    'y[2,27,2]'                 0.837089
259    'y[2,27,3]'                 1.55059e-09
260    'y[2,28,1]'                 0.348304
261    'y[2,28,2]'                 0.651696
262    'y[2,28,3]'                 4.9673e-10
263    'y[2,29,1]'                 0.600884
264    'y[2,29,2]'                 0.399116
265    'y[2,29,3]'                 1.21972e-10
266    'y[2,30,1]'                 0.81358
267    'y[2,30,2]'                 0.18642
268    'y[2,30,3]'                 2.21781e-11
269    'L[1,1]'                    0
270    'L[1,2]'                  698.796
271    'L[1,3]'                  698.857
272    'L[1,4]'                  702.216
273    'L[1,5]'                  710.917
274    'L[1,6]'                  722.574
275    'L[1,7]'                  732.364
276    'L[1,8]'                  738.32
277    'L[1,9]'                  741.288
278    'L[1,10]'                 742.564
279    'L[1,11]'                 742.931
280    'L[1,12]'                 742.663
281    'L[1,13]'                 741.747
282    'L[1,14]'                 740.565
283    'L[1,15]'                 741.698
284    'L[1,16]'                 650.724
285    'L[1,17]'                 669.195
286    'L[1,18]'                 684.984
287    'L[1,19]'                 693.721
288    'L[1,20]'                 697.432
289    'L[1,21]'                 698.824
290    'L[1,22]'                 699.321
291    'L[1,23]'                 699.495
292    'L[1,24]'                 699.556
293    'L[1,25]'                 699.577
294    'L[1,26]'                 699.584
295    'L[1,27]'                 699.587
296    'L[1,28]'                 699.587
297    'L[1,29]'                 699.588
298    'L[1,30]'                 699.588
299    'L[2,1]'                    0
300    'L[2,2]'                   26.5675
301    'L[2,3]'                   26.6049
302    'L[2,4]'                   26.7796
303    'L[2,5]'                   27.163
304    'L[2,6]'                   27.6587
305    'L[2,7]'                   28.0753
306    'L[2,8]'                   28.3317
307    'L[2,9]'                   28.4621
308    'L[2,10]'                  28.5221
309    'L[2,11]'                  28.5484
310    'L[2,12]'                  28.5597
311    'L[2,13]'                  28.5645
312    'L[2,14]'                  28.5666
313    'L[2,15]'                  28.5674
314    'L[2,16]'                  28.5678
315    'L[2,17]'                  28.5679
316    'L[2,18]'                  28.568
317    'L[2,19]'                  28.568
318    'L[2,20]'                  28.568
319    'L[2,21]'                  28.5678
320    'L[2,22]'                  28.5673
321    'L[2,23]'                  28.5661
322    'L[2,24]'                  28.5628
